id;name;regular_price;promo_price;brand;city
1973882;"Кофе в зернах BUSHIDO ""Specialty Сoffee"", полимерная упаковка, 227 г";700.00;;BUSHIDO;Санкт-Петербург
2678941;Kофе растворимый Черная Карта Gold, 150 г;391.00;;Черная;Санкт-Петербург
5847147;Кофе в зернах CARTE NOIRE PREMIER CRU PERU, натуральный, жареный, 200г;451.00;;CARTE;Санкт-Петербург
1973886;"Кофе растворимый BUSHIDO ""Red Katana"", стеклянная банка, 100 г";999.00;;BUSHIDO;Санкт-Петербург
2824254;Кофе растворимый MILAGRO Gold Roast, сублимированный, 190 г;595.00;;MILAGRO;Санкт-Петербург
1970502;"Кофе растворимый Москофе ""Индийский"", ж/б, 90 г";294.00;;Москофе;Санкт-Петербург
2678855;Kофе растворимый Ambassador Platinum, 190 г;600.00;;Ambassador;Санкт-Петербург
5938963;Напиток кофейный растворимый MONARCH STRONG,3 в 1, 13гх24 штуки;341.00;;Напиток;Санкт-Петербург
3743460;Кофе в зернаx EGOISTE Velvet  800г;1899.00;;EGOISTE;Санкт-Петербург
1252137;Кофе сублимированный TODAY Pure Arabica, полимерная упаковка, 150 г;535.00;;TODAY;Санкт-Петербург
2239407;Кофе натуральный жареный молотый Poetti Soul of Rome, 200 г;481.00;;Poetti;Санкт-Петербург
2140191;"Кофе растворимый Жокей ""Триумф"", сублимированный, 150 г";438.00;;Жокей;Санкт-Петербург
5798341;Кофе растворимый Tibio Exclusive Арабика, сублимированный, 190 г;699.00;;Tibio;Санкт-Петербург
3583469;Кофе в зернах Alta Roma Caffe Latte, 1кг;1516.00;;Alta;Санкт-Петербург
2391174;Кофе растворимый Milagro Gold Roast сублимированный, 95г;299.00;;Milagro;Санкт-Петербург
2641195;Кофе растворимый Jardin Gold, сублимированный, 150 г;490.00;;Jardin;Санкт-Петербург
1836314;"Кофе молотый BUSHIDO ""Black Katana"", полимерная упаковка, 227 г";698.00;;BUSHIDO;Санкт-Петербург
2597851;Кофе в зернах MacCoffee PURE Espresso Forte, 1 кг;1549.00;;MacCoffee;Санкт-Петербург
5938883;Кофе растворимый CARTE NOIRE, в подарочной упаковке со стаканом, 95г;989.00;;CARTE;Санкт-Петербург
2694836;Кофе растворимый MONARCH ORIGINAL, натуральный, сублимированный, 75 г;319.00;;MONARCH;Санкт-Петербург
2597854;Кофейный напиток MacCoffee 3в1 со вкусом сгущенного молока, растворимый, 50 штук по 20г;737.00;;MacCoffee;Санкт-Петербург
5825857;Кофе молотый, Стрелка кофе Айоба, арабика Бразилия / робуста Вьетнам, 250 г;499.00;;Стрелка;Санкт-Петербург
2779601;Кофе молотый Monarch GOLD ARABICA, натуральный, жареный, 200 г;400.00;;Monarch;Санкт-Петербург
2586826;Кофе растворимый Tibio Gold Selection, сублимированный, 150 г;528.00;;Tibio;Санкт-Петербург
